Date,Inflasi YoY,Temp Avg,Humidity Avg,RR,Produksi BM,Produksi BP,Produksi CR,Bawang Merah,Bawang Putih,Cabai Rawit,is_tahun_baru,is_idul_fitri,is_natal
2019-12-30,3.21,27.0,84,0.0,173467.0,6697.0,128496.0,40050.0,31300.0,46850.0,0,0,0
2019-12-31,3.21,25.7,92,20.6,173467.0,6697.0,128496.0,37400.0,31350.0,47400.0,0,0,0
2020-01-01,3.4,24.6,95,44.4,164828.0,3253.0,130840.0,36600.0,31200.0,48650.0,1,0,0
2020-01-02,3.4,25.7,92,34.4,164828.0,3253.0,130840.0,35800.0,31050.0,49900.0,0,0,0
2020-01-03,3.4,26.1,88,0.3,164828.0,3253.0,130840.0,35550.0,31100.0,57100.0,0,0,0
2020-01-04,3.4,25.8,92,0.3,164828.0,3253.0,130840.0,35350.0,31333.33333,59566.66667,0,0,0
2020-01-05,3.4,25.2,92,3.3,164828.0,3253.0,130840.0,35150.0,31566.66667,62033.33333,0,0,0
2020-01-06,3.4,24.9,94,6.2,164828.0,3253.0,130840.0,34950.0,31800.0,64500.0,0,0,0
2020-01-07,3.4,26.4,90,9.3,164828.0,3253.0,130840.0,34600.0,32200.0,67300.0,0,0,0
2020-01-08,3.4,25.2,93,2.5,164828.0,3253.0,130840.0,34200.0,32050.0,66000.0,0,0,0
2020-01-09,3.4,25.2,94,3.0,164828.0,3253.0,130840.0,34100.0,33150.0,67050.0,0,0,0
2020-01-10,3.4,25.5,85,9.1,164828.0,3253.0,130840.0,34100.0,33450.0,68900.0,0,0,0
2020-01-11,3.4,25.9,86,0.0,164828.0,3253.0,130840.0,33633.33333,33616.66667,70250.0,0,0,0
2020-01-12,3.4,27.1,79,0.0,164828.0,3253.0,130840.0,33166.66667,33783.33333,71600.0,0,0,0
2020-01-13,3.4,26.8,82,0.0,164828.0,3253.0,130840.0,32700.0,33950.0,72950.0,0,0,0
2020-01-14,3.4,26.9,83,0.0,164828.0,3253.0,130840.0,32350.0,34200.0,72300.0,0,0,0
2020-01-15,3.4,25.3,92,4.6,164828.0,3253.0,130840.0,31750.0,34400.0,75350.0,0,0,0
2020-01-16,3.4,26.2,86,5.3,164828.0,3253.0,130840.0,31550.0,34250.0,79800.0,0,0,0
2020-01-17,3.4,26.4,86,9.0,164828.0,3253.0,130840.0,31500.0,34050.0,82400.0,0,0,0
2020-01-18,3.4,26.3,87,83.0,164828.0,3253.0,130840.0,31216.66667,34250.0,82183.33333,0,0,0
2020-01-19,3.4,26.7,87,0.2,164828.0,3253.0,130840.0,30933.33333,34450.0,81966.66667,0,0,0
2020-01-20,3.4,26.5,90,99.9,164828.0,3253.0,130840.0,30650.0,34650.0,81750.0,0,0,0
2020-01-21,3.4,0.0,0,10.9,164828.0,3253.0,130840.0,31250.0,34650.0,82850.0,0,0,0
2020-01-22,3.4,27.0,85,0.0,164828.0,3253.0,130840.0,31200.0,34250.0,84950.0,0,0,0
2020-01-23,3.4,26.3,92,0.0,164828.0,3253.0,130840.0,31050.0,34350.0,87850.0,0,0,0
2020-01-24,3.4,25.1,94,8.5,164828.0,3253.0,130840.0,31150.0,34400.0,89850.0,0,0,0
2020-01-25,3.4,25.1,96,2.0,164828.0,3253.0,130840.0,31133.33333,34383.33333,90000.0,0,0,0
2020-01-26,3.4,25.6,91,9.6,164828.0,3253.0,130840.0,31116.66667,34366.66667,90150.0,0,0,0
2020-01-27,3.4,26.4,88,43.7,164828.0,3253.0,130840.0,31100.0,34350.0,90300.0,0,0,0
2020-01-28,3.4,26.1,88,9.2,164828.0,3253.0,130840.0,30900.0,34300.0,90100.0,0,0,0
2020-01-29,3.4,27.3,84,0.0,164828.0,3253.0,130840.0,30800.0,34700.0,91650.0,0,0,0
2020-01-30,3.4,26.4,85,1.1,164828.0,3253.0,130840.0,30750.0,34800.0,91950.0,0,0,0
2020-01-31,3.4,25.7,92,0.0,164828.0,3253.0,130840.0,30800.0,34950.0,91650.0,0,0,0
2020-02-01,3.72,24.7,92,26.6,164828.0,3253.0,130840.0,30766.66667,38500.0,91216.66667,0,0,0
2020-02-02,3.72,24.5,92,3.1,164828.0,3253.0,130840.0,30733.33333,42050.0,90783.33333,0,0,0
2020-02-03,3.72,24.8,93,4.5,164828.0,3253.0,130840.0,30700.0,45600.0,90350.0,0,0,0
2020-02-04,3.72,26.4,87,4.8,164828.0,3253.0,130840.0,30150.0,50650.0,90650.0,0,0,0
2020-02-05,3.72,25.4,88,0.2,164828.0,3253.0,130840.0,30150.0,52500.0,88450.0,0,0,0
2020-02-06,3.72,24.9,0,26.6,164828.0,3253.0,130840.0,30450.0,57000.0,87500.0,0,0,0
2020-02-07,3.72,25.3,94,32.6,164828.0,3253.0,130840.0,30350.0,58100.0,86400.0,0,0,0
2020-02-08,3.72,26.0,87,116.7,164828.0,3253.0,130840.0,30166.66667,58283.33333,85000.0,0,0,0
2020-02-09,3.72,25.9,83,0.9,164828.0,3253.0,130840.0,29983.33333,58466.66667,83600.0,0,0,0
2020-02-10,3.72,27.1,78,0.0,164828.0,3253.0,130840.0,29800.0,58650.0,82200.0,0,0,0
2020-02-11,3.72,27.2,80,0.2,164828.0,3253.0,130840.0,29700.0,57700.0,80550.0,0,0,0
2020-02-12,3.72,27.1,84,0.0,164828.0,3253.0,130840.0,28900.0,57600.0,74650.0,0,0,0
2020-02-13,3.72,27.0,86,0.4,164828.0,3253.0,130840.0,28650.0,57350.0,73150.0,0,0,0
2020-02-14,3.72,25.1,93,0.0,164828.0,3253.0,130840.0,28600.0,56900.0,71800.0,0,0,0
2020-02-15,3.72,25.9,89,15.4,164828.0,3253.0,130840.0,28516.66667,55233.33333,69883.33333,0,0,0
2020-02-16,3.72,25.7,90,40.3,164828.0,3253.0,130840.0,28433.33333,53566.66667,67966.66667,0,0,0
2020-02-17,3.72,25.2,90,10.2,164828.0,3253.0,130840.0,28350.0,51900.0,66050.0,0,0,0
2020-02-18,3.72,24.2,92,5.8,164828.0,3253.0,130840.0,28300.0,50150.0,62600.0,0,0,0
2020-02-19,3.72,24.4,93,56.8,164828.0,3253.0,130840.0,28300.0,48400.0,60250.0,0,0,0
2020-02-20,3.72,24.4,95,39.2,164828.0,3253.0,130840.0,28450.0,47550.0,55750.0,0,0,0
2020-02-21,3.72,26.9,84,5.2,164828.0,3253.0,130840.0,28650.0,47200.0,55000.0,0,0,0
2020-02-22,3.72,26.7,89,7.0,164828.0,3253.0,130840.0,28700.0,47083.33333,53633.33333,0,0,0
2020-02-23,3.72,27.0,87,0.0,164828.0,3253.0,130840.0,28750.0,46966.66667,52266.66667,0,0,0
2020-02-24,3.72,25.3,94,52.8,164828.0,3253.0,130840.0,28800.0,46850.0,50900.0,0,0,0
2020-02-25,3.72,25.8,90,19.2,164828.0,3253.0,130840.0,28400.0,46400.0,48700.0,0,0,0
2020-02-26,3.72,25.4,90,0.3,164828.0,3253.0,130840.0,28150.0,46450.0,46650.0,0,0,0
2020-02-27,3.72,26.3,88,9.6,164828.0,3253.0,130840.0,27800.0,46850.0,45800.0,0,0,0
2020-02-28,3.72,24.5,96,38.7,164828.0,3253.0,130840.0,28450.0,46700.0,44400.0,0,0,0
2020-02-29,3.72,25.1,94,8.3,164828.0,3253.0,130840.0,29333.33333,46366.66667,43650.0,0,0,0
2020-03-01,3.95,26.2,92,120.6,164828.0,3253.0,130840.0,30216.66667,46033.33333,42900.0,0,0,0
2020-03-02,3.95,27.6,82,1.5,164828.0,3253.0,130840.0,31100.0,45700.0,42150.0,0,0,0
2020-03-03,3.95,26.9,84,0.0,164828.0,3253.0,130840.0,31450.0,45400.0,42400.0,0,0,0
2020-03-04,3.95,25.9,87,0.0,164828.0,3253.0,130840.0,31350.0,45800.0,42800.0,0,0,0
2020-03-05,3.95,25.7,84,12.2,164828.0,3253.0,130840.0,31600.0,45850.0,43650.0,0,0,0
2020-03-06,3.95,26.7,80,0.2,164828.0,3253.0,130840.0,32050.0,45650.0,43850.0,0,0,0
2020-03-07,3.95,27.0,81,0.0,164828.0,3253.0,130840.0,32050.0,45666.66667,43683.33333,0,0,0
2020-03-08,3.95,26.3,84,0.0,164828.0,3253.0,130840.0,32050.0,45683.33333,43516.66667,0,0,0
2020-03-09,3.95,26.9,80,1.2,164828.0,3253.0,130840.0,32050.0,45700.0,43350.0,0,0,0
2020-03-10,3.95,27.3,78,0.0,164828.0,3253.0,130840.0,32200.0,45700.0,43100.0,0,0,0
